year,quarter,state,category,total_count,total_amount
2018,1,karnataka,Peer-to-peer payments,13369584.0,49566832380.52399
2018,1,karnataka,Recharge & bill payments,17355876.0,4490449625.913061
2018,1,kerala,Financial Services,120510.0,23872475.70589675
2018,1,kerala,Merchant payments,216492.0,248758149.13713518
2018,1,kerala,Others,210201.0,141593227.42334816
2018,1,kerala,Peer-to-peer payments,1800615.0,6321864942.907566
2018,1,kerala,Recharge & bill payments,2966322.0,471935464.12756974
2018,1,ladakh,Financial Services,396.0,822849.5273004179
2018,1,ladakh,Merchant payments,960.0,1107982.8766572576
2018,1,ladakh,Others,1005.0,582576.7674432067
2018,1,ladakh,Peer-to-peer payments,5256.0,32303411.998831104
2018,1,ladakh,Recharge & bill payments,10650.0,2781752.1431123456
2018,1,lakshadweep,Merchant payments,15.0,1772.251541452733
2018,1,lakshadweep,Others,24.0,18930.307557473145
2018,1,lakshadweep,Peer-to-peer payments,1269.0,5580834.835379142
2018,1,lakshadweep,Recharge & bill payments,1026.0,184296.14815515222
2018,1,madhya-pradesh,Financial Services,691557.0,130122866.95119068
2018,1,madhya-pradesh,Merchant payments,589182.0,510359021.13826215
2018,1,madhya-pradesh,Others,1038006.0,630784622.2244873
2018,1,madhya-pradesh,Peer-to-peer payments,8544870.0,22772371765.65571
2018,1,madhya-pradesh,Recharge & bill payments,13212570.0,2001171934.3681116
2018,1,maharashtra,Financial Services,705153.0,182991774.18089917
2018,1,maharashtra,Merchant payments,1850337.0,1730892212.2100577
2018,1,maharashtra,Others,1911591.0,1518564098.8618693
2018,1,maharashtra,Peer-to-peer payments,15683310.0,54851689394.25272
2018,1,maharashtra,Recharge & bill payments,29010711.0,6850702293.670605
2018,1,manipur,Financial Services,7980.0,1237738.619563856
2018,1,manipur,Merchant payments,4842.0,10849426.922373662
2018,1,manipur,Others,9603.0,6176281.910661325
2018,1,manipur,Peer-to-peer payments,79146.0,346485520.6738932
2018,1,manipur,Recharge & bill payments,150636.0,19389553.664135072
2018,1,meghalaya,Financial Services,1596.0,432954.7636713453
2018,1,meghalaya,Merchant payments,4815.0,7187665.319287015
2018,1,meghalaya,Others,6909.0,5214241.291813171
2018,1,meghalaya,Peer-to-peer payments,39822.0,167830489.54765895
2018,1,meghalaya,Recharge & bill payments,95571.0,18085428.447271068
2018,1,mizoram,Financial Services,780.0,195067.49690522067
2018,1,mizoram,Merchant payments,1848.0,3198006.50118668
2018,1,mizoram,Others,2055.0,2129738.318534373
2018,1,mizoram,Peer-to-peer payments,20535.0,123560151.834005
2018,1,mizoram,Recharge & bill payments,30465.0,6598695.776741231
2018,1,nagaland,Financial Services,1197.0,897050.2036862212
2018,1,nagaland,Merchant payments,2466.0,3512002.245494735
2018,1,nagaland,Others,5385.0,4033228.098408118
2018,1,nagaland,Peer-to-peer payments,34893.0,209490366.0619163
2018,1,nagaland,Recharge & bill payments,84594.0,16085026.648869947
2018,1,odisha,Financial Services,970056.0,174299024.8372841
2018,1,odisha,Merchant payments,388977.0,336904024.99855864
2018,1,odisha,Others,531273.0,277283186.7943118
2018,1,odisha,Peer-to-peer payments,6916830.0,12100646997.579695
2018,1,odisha,Recharge & bill payments,8622327.0,993763398.4525983
2018,1,puducherry,Financial Services,6258.0,1697398.3660327715
2018,1,puducherry,Merchant payments,12489.0,13281102.094618428
2018,1,puducherry,Others,13605.0,9881727.214389114
2018,1,puducherry,Peer-to-peer payments,120909.0,443503428.4875184
2018,1,puducherry,Recharge & bill payments,159375.0,29114257.94694971
2018,1,punjab,Financial Services,182064.0,33487465.269709207
2018,1,punjab,Merchant payments,262431.0,251621681.88612974
2018,1,punjab,Others,255738.0,231805762.7076239
2018,1,punjab,Peer-to-peer payments,2072052.0,7237303900.62418
2018,1,punjab,Recharge & bill payments,2839014.0,588055864.0755446
2018,1,rajasthan,Financial Services,607611.0,111376399.48713923
2018,1,rajasthan,Merchant payments,552381.0,603638091.7817819
2018,1,rajasthan,Others,1075284.0,815830599.4024096
2018,1,rajasthan,Peer-to-peer payments,7621974.0,22642958557.9879
2018,1,rajasthan,Recharge & bill payments,12917820.0,2605075743.5211077
2018,1,sikkim,Financial Services,1824.0,260720.4587430415
2018,1,sikkim,Merchant payments,4047.0,5032749.432123439
2018,1,sikkim,Others,4791.0,5183762.404830949
2018,1,sikkim,Peer-to-peer payments,40677.0,169003753.89861602
2018,1,sikkim,Recharge & bill payments,80895.0,14471830.626791816
2018,1,tamil-nadu,Financial Services,346089.0,95628221.243767
2018,1,tamil-nadu,Merchant payments,979530.0,816006171.5210613
2018,1,tamil-nadu,Others,916764.0,840396882.34268
2018,1,tamil-nadu,Peer-to-peer payments,8011839.0,30094556802.257065
2018,1,tamil-nadu,Recharge & bill payments,9925644.0,1938085015.1854599
2018,1,telangana,Financial Services,788628.0,171035626.0870111
2018,1,telangana,Merchant payments,1054422.0,848697199.8412117
2018,1,telangana,Others,1175556.0,1164334374.6364055
2018,1,telangana,Peer-to-peer payments,9921735.0,35244806852.281265
2018,1,telangana,Recharge & bill payments,12627957.0,2495738302.7811565
2018,1,tripura,Financial Services,14526.0,2016742.7645130465
2018,1,tripura,Merchant payments,14499.0,18242879.64850826
2018,1,tripura,Others,20457.0,14748817.538858397
2018,1,tripura,Peer-to-peer payments,134532.0,336689984.9302703
2018,1,tripura,Recharge & bill payments,260457.0,42238318.70971784
2018,1,uttar-pradesh,Financial Services,1191984.0,225451334.97324345
2018,1,uttar-pradesh,Merchant payments,1327308.0,1284904302.82646
2018,1,uttar-pradesh,Others,1712136.0,1343167053.9415574
2018,1,uttar-pradesh,Peer-to-peer payments,12370875.0,35360907446.28179
2018,1,uttar-pradesh,Recharge & bill payments,21011112.0,3605482631.644946
2018,1,uttarakhand,Financial Services,83283.0,16913275.669048484
2018,1,uttarakhand,Merchant payments,106146.0,118118739.31273234
2018,1,uttarakhand,Others,160707.0,127661469.58134082
2018,1,uttarakhand,Peer-to-peer payments,1198635.0,3889810039.003794
2018,1,uttarakhand,Recharge & bill payments,2191284.0,373132552.0047435
2018,1,west-bengal,Financial Services,1995513.0,358506815.00833327
2018,1,west-bengal,Merchant payments,1330134.0,1100366098.9713938
2018,1,west-bengal,Others,1334310.0,903333806.6059151
2018,1,west-bengal,Peer-to-peer payments,13149225.0,26622800477.957314
2018,1,west-bengal,Recharge & bill payments,17321493.0,2892928457.8777156
2018,2,andaman-&-nicobar-islands,Financial Services,177.0,364008.08129625267
2018,2,andaman-&-nicobar-islands,Merchant payments,1809.0,3073473.040073702
2018,2,andaman-&-nicobar-islands,Others,1104.0,1079515.5161242373
2018,2,andaman-&-nicobar-islands,Peer-to-peer payments,10725.0,73535775.69314301
2018,2,andaman-&-nicobar-islands,Recharge & bill payments,20205.0,6962834.193223437
2018,2,andhra-pradesh,Financial Services,676863.0,206856344.441238
2018,2,andhra-pradesh,Merchant payments,1814541.0,1310355671.5809886
2018,2,andhra-pradesh,Others,966189.0,984277039.726953
2018,2,andhra-pradesh,Peer-to-peer payments,14235000.0,61354479296.685905
2018,2,andhra-pradesh,Recharge & bill payments,19369161.0,4795774465.464106
2018,2,arunachal-pradesh,Financial Services,1677.0,1091285.404786476
